Acronym,type,defin
FAME,left,Astrophysics 4GT 4 Gigabyte memory
FAME,right,Full Sky Astrometric Mapping Explorer
MPH,right,miles per hour
BARACUDA,right,Boldly Advanced and Refined Aircraft Concept Under Development for AGATE
F&M,right,Facilities and Materials
4GT,right,4 Gigabyte memory Tuning
5GL,right,generation language
CSE,right,Computer Science and Engineering
AI,right,Artificial Intelligence
W3C,right,Web Consortium
TLA,right,Three Letter Acronym
DB,right,DataBase
D2T2,left,DataBase CONTOUR for Comet Nuclear Tour
D2T2,right,Diffusion Thermal
ACIS,left,All Sky
ACIS,right,Advanced CCD Imaging Spectrometer
2MASS,left,AGATE SGRP seating
2MASS,right,Micron All Sky Survey
EDS,right,Electronic Data System
SGRP,right,seating reference point
T/C/F,right,Trim Chassis Final
MPH,right,miles per hour
F&M,right,Facilities and Materials
FAME,left,Astrophysics 4GT 4 Gigabyte memory
FAME,right,Full Sky Astrometric Mapping Explorer
BARACUDA,right,Boldly Advanced and Refined Aircraft Concept Under Development for AGATE
SGRP,right,seating reference point
TLA,right,Three Letter Acronym
EDS,right,Electronic Data System
ACIS,left,All Sky
ACIS,right,Advanced CCD Imaging Spectrometer
AI,right,Artificial Intelligence
5GL,right,generation language
DB,right,DataBase
2MASS,left,AGATE SGRP seating
2MASS,right,Micron All Sky Survey
CSE,right,Computer Science and Engineering
W3C,right,Web Consortium
4GT,right,4 Gigabyte memory Tuning
T/C/F,right,Trim Chassis Final
D2T2,left,DataBase CONTOUR for Comet Nuclear Tour
D2T2,right,Diffusion Thermal
W3C,right,Web Consortium
2MASS,left,AGATE SGRP seating
2MASS,right,Micron All Sky Survey
BARACUDA,right,Boldly Advanced and Refined Aircraft Concept Under Development for AGATE
FAME,left,Astrophysics 4GT 4 Gigabyte memory
FAME,right,Full Sky Astrometric Mapping Explorer
MPH,right,miles per hour
SGRP,right,seating reference point
5GL,right,generation language
D2T2,left,DataBase CONTOUR for Comet Nuclear Tour
D2T2,right,Diffusion Thermal
CSE,right,Computer Science and Engineering
DB,right,DataBase
TLA,right,Three Letter Acronym
ACIS,left,All Sky
ACIS,right,Advanced CCD Imaging Spectrometer
T/C/F,right,Trim Chassis Final
F&M,right,Facilities and Materials
AI,right,Artificial Intelligence
EDS,right,Electronic Data System
4GT,right,4 Gigabyte memory Tuning
W3C,right,Web Consortium
2MASS,left,AGATE SGRP seating
2MASS,right,Micron All Sky Survey
BARACUDA,right,Boldly Advanced and Refined Aircraft Concept Under Development for AGATE
FAME,left,Astrophysics 4GT 4 Gigabyte memory
FAME,right,Full Sky Astrometric Mapping Explorer
MPH,right,miles per hour
SGRP,right,seating reference point
5GL,right,generation language
D2T2,left,DataBase CONTOUR for Comet Nuclear Tour
D2T2,right,Diffusion Thermal
CSE,right,Computer Science and Engineering
DB,right,DataBase
TLA,right,Three Letter Acronym
ACIS,left,All Sky
ACIS,right,Advanced CCD Imaging Spectrometer
T/C/F,right,Trim Chassis Final
F&M,right,Facilities and Materials
AI,right,Artificial Intelligence
EDS,right,Electronic Data System
4GT,right,4 Gigabyte memory Tuning
DB,right,DataBase
2MASS,left,AGATE SGRP seating
2MASS,right,Micron All Sky Survey
AI,right,Artificial Intelligence
FAME,left,Astrophysics 4GT 4 Gigabyte memory
FAME,right,Full Sky Astrometric Mapping Explorer
F&M,right,Facilities and Materials
4GT,right,4 Gigabyte memory Tuning
MPH,right,miles per hour
D2T2,left,DataBase CONTOUR for Comet Nuclear Tour
D2T2,right,Diffusion Thermal
ACIS,left,All Sky
ACIS,right,Advanced CCD Imaging Spectrometer
TLA,right,Three Letter Acronym
SGRP,right,seating reference point
BARACUDA,right,Boldly Advanced and Refined Aircraft Concept Under Development for AGATE
CSE,right,Computer Science and Engineering
W3C,right,Web Consortium
T/C/F,right,Trim Chassis Final
5GL,right,generation language
EDS,right,Electronic Data System
DB,right,DataBase
2MASS,left,AGATE SGRP seating
2MASS,right,Micron All Sky Survey
AI,right,Artificial Intelligence
FAME,left,Astrophysics 4GT 4 Gigabyte memory
FAME,right,Full Sky Astrometric Mapping Explorer
F&M,right,Facilities and Materials
4GT,right,4 Gigabyte memory Tuning
MPH,right,miles per hour
D2T2,left,DataBase CONTOUR for Comet Nuclear Tour
D2T2,right,Diffusion Thermal
ACIS,left,All Sky
ACIS,right,Advanced CCD Imaging Spectrometer
TLA,right,Three Letter Acronym
SGRP,right,seating reference point
BARACUDA,right,Boldly Advanced and Refined Aircraft Concept Under Development for AGATE
CSE,right,Computer Science and Engineering
W3C,right,Web Consortium
T/C/F,right,Trim Chassis Final
5GL,right,generation language
EDS,right,Electronic Data System
W3C,right,Web Consortium
D2T2,left,DataBase CONTOUR for Comet Nuclear Tour
D2T2,right,Diffusion Thermal
AI,right,Artificial Intelligence
5GL,right,generation language
EDS,right,Electronic Data System
DB,right,DataBase
F&M,right,Facilities and Materials
BARACUDA,right,Boldly Advanced and Refined Aircraft Concept Under Development for AGATE
FAME,left,Astrophysics 4GT 4 Gigabyte memory
FAME,right,Full Sky Astrometric Mapping Explorer
T/C/F,right,Trim Chassis Final
MPH,right,miles per hour
2MASS,left,AGATE SGRP seating
2MASS,right,Micron All Sky Survey
TLA,right,Three Letter Acronym
CSE,right,Computer Science and Engineering
SGRP,right,seating reference point
ACIS,left,All Sky
ACIS,right,Advanced CCD Imaging Spectrometer
4GT,right,4 Gigabyte memory Tuning
D2T2,left,DataBase CONTOUR for Comet Nuclear Tour
D2T2,right,Diffusion Thermal
FAME,left,Astrophysics 4GT 4 Gigabyte memory
FAME,right,Full Sky Astrometric Mapping Explorer
TLA,right,Three Letter Acronym
ACIS,left,All Sky
ACIS,right,Advanced CCD Imaging Spectrometer
MPH,right,miles per hour
CSE,right,Computer Science and Engineering
5GL,right,generation language
SGRP,right,seating reference point
DB,right,DataBase
AI,right,Artificial Intelligence
EDS,right,Electronic Data System
4GT,right,4 Gigabyte memory Tuning
F&M,right,Facilities and Materials
W3C,right,Web Consortium
BARACUDA,right,Boldly Advanced and Refined Aircraft Concept Under Development for AGATE
T/C/F,right,Trim Chassis Final
2MASS,left,AGATE SGRP seating
2MASS,right,Micron All Sky Survey
D2T2,left,DataBase CONTOUR for Comet Nuclear Tour
D2T2,right,Diffusion Thermal
FAME,left,Astrophysics 4GT 4 Gigabyte memory
FAME,right,Full Sky Astrometric Mapping Explorer
TLA,right,Three Letter Acronym
ACIS,left,All Sky
ACIS,right,Advanced CCD Imaging Spectrometer
MPH,right,miles per hour
CSE,right,Computer Science and Engineering
5GL,right,generation language
SGRP,right,seating reference point
DB,right,DataBase
AI,right,Artificial Intelligence
EDS,right,Electronic Data System
4GT,right,4 Gigabyte memory Tuning
F&M,right,Facilities and Materials
W3C,right,Web Consortium
BARACUDA,right,Boldly Advanced and Refined Aircraft Concept Under Development for AGATE
T/C/F,right,Trim Chassis Final
2MASS,left,AGATE SGRP seating
2MASS,right,Micron All Sky Survey
D2T2,left,DataBase CONTOUR for Comet Nuclear Tour
D2T2,right,Diffusion Thermal
FAME,left,Astrophysics 4GT 4 Gigabyte memory
FAME,right,Full Sky Astrometric Mapping Explorer
TLA,right,Three Letter Acronym
ACIS,left,All Sky
ACIS,right,Advanced CCD Imaging Spectrometer
MPH,right,miles per hour
CSE,right,Computer Science and Engineering
5GL,right,generation language
SGRP,right,seating reference point
DB,right,DataBase
AI,right,Artificial Intelligence
EDS,right,Electronic Data System
4GT,right,4 Gigabyte memory Tuning
F&M,right,Facilities and Materials
W3C,right,Web Consortium
BARACUDA,right,Boldly Advanced and Refined Aircraft Concept Under Development for AGATE
T/C/F,right,Trim Chassis Final
2MASS,left,AGATE SGRP seating
2MASS,right,Micron All Sky Survey
D2T2,left,DataBase CONTOUR for Comet Nuclear Tour
D2T2,right,Diffusion Thermal
FAME,left,Astrophysics 4GT 4 Gigabyte memory
FAME,right,Full Sky Astrometric Mapping Explorer
TLA,right,Three Letter Acronym
ACIS,left,All Sky
ACIS,right,Advanced CCD Imaging Spectrometer
MPH,right,miles per hour
CSE,right,Computer Science and Engineering
5GL,right,generation language
SGRP,right,seating reference point
DB,right,DataBase
AI,right,Artificial Intelligence
EDS,right,Electronic Data System
4GT,right,4 Gigabyte memory Tuning
F&M,right,Facilities and Materials
W3C,right,Web Consortium
BARACUDA,right,Boldly Advanced and Refined Aircraft Concept Under Development for AGATE
T/C/F,right,Trim Chassis Final
2MASS,left,AGATE SGRP seating
2MASS,right,Micron All Sky Survey
D2T2,left,DataBase CONTOUR for Comet Nuclear Tour
D2T2,right,Diffusion Thermal
FAME,left,Astrophysics 4GT 4 Gigabyte memory
FAME,right,Full Sky Astrometric Mapping Explorer
TLA,right,Three Letter Acronym
ACIS,left,All Sky
ACIS,right,Advanced CCD Imaging Spectrometer
MPH,right,miles per hour
CSE,right,Computer Science and Engineering
5GL,right,generation language
SGRP,right,seating reference point
DB,right,DataBase
AI,right,Artificial Intelligence
EDS,right,Electronic Data System
4GT,right,4 Gigabyte memory Tuning
F&M,right,Facilities and Materials
W3C,right,Web Consortium
BARACUDA,right,Boldly Advanced and Refined Aircraft Concept Under Development for AGATE
T/C/F,right,Trim Chassis Final
2MASS,left,AGATE SGRP seating
2MASS,right,Micron All Sky Survey
D2T2,left,DataBase CONTOUR for Comet Nuclear Tour
D2T2,right,Diffusion Thermal
FAME,left,Astrophysics 4GT 4 Gigabyte memory
FAME,right,Full Sky Astrometric Mapping Explorer
TLA,right,Three Letter Acronym
ACIS,left,All Sky
ACIS,right,Advanced CCD Imaging Spectrometer
MPH,right,miles per hour
CSE,right,Computer Science and Engineering
5GL,right,generation language
SGRP,right,seating reference point
DB,right,DataBase
AI,right,Artificial Intelligence
EDS,right,Electronic Data System
4GT,right,4 Gigabyte memory Tuning
F&M,right,Facilities and Materials
W3C,right,Web Consortium
BARACUDA,right,Boldly Advanced and Refined Aircraft Concept Under Development for AGATE
T/C/F,right,Trim Chassis Final
2MASS,left,AGATE SGRP seating
2MASS,right,Micron All Sky Survey
TLA,right,Three Letter Acronym
EDS,right,Electronic Data System
2MASS,left,AGATE SGRP seating
2MASS,right,Micron All Sky Survey
D2T2,left,DataBase CONTOUR for Comet Nuclear Tour
D2T2,right,Diffusion Thermal
FAME,left,Astrophysics 4GT 4 Gigabyte memory
FAME,right,Full Sky Astrometric Mapping Explorer
W3C,right,Web Consortium
MPH,right,miles per hour
BARACUDA,right,Boldly Advanced and Refined Aircraft Concept Under Development for AGATE
SGRP,right,seating reference point
ACIS,left,All Sky
ACIS,right,Advanced CCD Imaging Spectrometer
AI,right,Artificial Intelligence
5GL,right,generation language
T/C/F,right,Trim Chassis Final
F&M,right,Facilities and Materials
CSE,right,Computer Science and Engineering
DB,right,DataBase
4GT,right,4 Gigabyte memory Tuning
TLA,right,Three Letter Acronym
EDS,right,Electronic Data System
2MASS,left,AGATE SGRP seating
2MASS,right,Micron All Sky Survey
D2T2,left,DataBase CONTOUR for Comet Nuclear Tour
D2T2,right,Diffusion Thermal
FAME,left,Astrophysics 4GT 4 Gigabyte memory
FAME,right,Full Sky Astrometric Mapping Explorer
W3C,right,Web Consortium
MPH,right,miles per hour
BARACUDA,right,Boldly Advanced and Refined Aircraft Concept Under Development for AGATE
SGRP,right,seating reference point
ACIS,left,All Sky
ACIS,right,Advanced CCD Imaging Spectrometer
AI,right,Artificial Intelligence
5GL,right,generation language
T/C/F,right,Trim Chassis Final
F&M,right,Facilities and Materials
CSE,right,Computer Science and Engineering
DB,right,DataBase
4GT,right,4 Gigabyte memory Tuning
TLA,right,Three Letter Acronym
EDS,right,Electronic Data System
2MASS,left,AGATE SGRP seating
2MASS,right,Micron All Sky Survey
D2T2,left,DataBase CONTOUR for Comet Nuclear Tour
D2T2,right,Diffusion Thermal
FAME,left,Astrophysics 4GT 4 Gigabyte memory
FAME,right,Full Sky Astrometric Mapping Explorer
W3C,right,Web Consortium
MPH,right,miles per hour
BARACUDA,right,Boldly Advanced and Refined Aircraft Concept Under Development for AGATE
SGRP,right,seating reference point
ACIS,left,All Sky
ACIS,right,Advanced CCD Imaging Spectrometer
AI,right,Artificial Intelligence
5GL,right,generation language
T/C/F,right,Trim Chassis Final
F&M,right,Facilities and Materials
CSE,right,Computer Science and Engineering
DB,right,DataBase
4GT,right,4 Gigabyte memory Tuning
TLA,right,Three Letter Acronym
EDS,right,Electronic Data System
2MASS,left,AGATE SGRP seating
2MASS,right,Micron All Sky Survey
D2T2,left,DataBase CONTOUR for Comet Nuclear Tour
D2T2,right,Diffusion Thermal
FAME,left,Astrophysics 4GT 4 Gigabyte memory
FAME,right,Full Sky Astrometric Mapping Explorer
W3C,right,Web Consortium
MPH,right,miles per hour
BARACUDA,right,Boldly Advanced and Refined Aircraft Concept Under Development for AGATE
SGRP,right,seating reference point
ACIS,left,All Sky
ACIS,right,Advanced CCD Imaging Spectrometer
AI,right,Artificial Intelligence
5GL,right,generation language
T/C/F,right,Trim Chassis Final
F&M,right,Facilities and Materials
CSE,right,Computer Science and Engineering
DB,right,DataBase
4GT,right,4 Gigabyte memory Tuning
TLA,right,Three Letter Acronym
EDS,right,Electronic Data System
2MASS,left,AGATE SGRP seating
2MASS,right,Micron All Sky Survey
D2T2,left,DataBase CONTOUR for Comet Nuclear Tour
D2T2,right,Diffusion Thermal
FAME,left,Astrophysics 4GT 4 Gigabyte memory
FAME,right,Full Sky Astrometric Mapping Explorer
W3C,right,Web Consortium
MPH,right,miles per hour
BARACUDA,right,Boldly Advanced and Refined Aircraft Concept Under Development for AGATE
SGRP,right,seating reference point
ACIS,left,All Sky
ACIS,right,Advanced CCD Imaging Spectrometer
AI,right,Artificial Intelligence
5GL,right,generation language
T/C/F,right,Trim Chassis Final
F&M,right,Facilities and Materials
CSE,right,Computer Science and Engineering
DB,right,DataBase
4GT,right,4 Gigabyte memory Tuning
TLA,right,Three Letter Acronym
EDS,right,Electronic Data System
2MASS,left,AGATE SGRP seating
2MASS,right,Micron All Sky Survey
D2T2,left,DataBase CONTOUR for Comet Nuclear Tour
D2T2,right,Diffusion Thermal
FAME,left,Astrophysics 4GT 4 Gigabyte memory
FAME,right,Full Sky Astrometric Mapping Explorer
W3C,right,Web Consortium
MPH,right,miles per hour
BARACUDA,right,Boldly Advanced and Refined Aircraft Concept Under Development for AGATE
SGRP,right,seating reference point
ACIS,left,All Sky
ACIS,right,Advanced CCD Imaging Spectrometer
AI,right,Artificial Intelligence
5GL,right,generation language
T/C/F,right,Trim Chassis Final
F&M,right,Facilities and Materials
CSE,right,Computer Science and Engineering
DB,right,DataBase
4GT,right,4 Gigabyte memory Tuning
TLA,right,Three Letter Acronym
EDS,right,Electronic Data System
2MASS,left,AGATE SGRP seating
2MASS,right,Micron All Sky Survey
D2T2,left,DataBase CONTOUR for Comet Nuclear Tour
D2T2,right,Diffusion Thermal
FAME,left,Astrophysics 4GT 4 Gigabyte memory
FAME,right,Full Sky Astrometric Mapping Explorer
W3C,right,Web Consortium
MPH,right,miles per hour
BARACUDA,right,Boldly Advanced and Refined Aircraft Concept Under Development for AGATE
SGRP,right,seating reference point
ACIS,left,All Sky
ACIS,right,Advanced CCD Imaging Spectrometer
AI,right,Artificial Intelligence
5GL,right,generation language
T/C/F,right,Trim Chassis Final
F&M,right,Facilities and Materials
CSE,right,Computer Science and Engineering
DB,right,DataBase
